"session_time","id","status","appointment_type","session_gender_single","session_type_single","session_gender_double_1","session_gender_double_2","session_type_double_1","session_type_double_2"
"2017-01-01 01:30:00",2570736,"cancelled","couples",NULL,NULL,"female","female","swedish","swedish"
"2017-01-01 03:00:00",2570976,"cancelled","couples",NULL,NULL,"either","either","swedish","swedish"
"2017-01-01 04:00:00",2571172,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-05 04:45:00",2588747,"cancelled","single","male","deep",NULL,NULL,NULL,NULL
"2017-01-05 04:45:00",2588886,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-05 16:00:00",2590093,"cancelled","single","male","deep",NULL,NULL,NULL,NULL
"2017-01-08 03:30:00",2595330,"cancelled","couples",NULL,NULL,"female","female","swedish","swedish"
"2017-01-07 03:00:00",2595744,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-07 03:30:00",2596135,"cancelled","couples",NULL,NULL,"female","female","deep","deep"
"2017-01-07 04:00:00",2596277,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-01-11 02:30:00",2608976,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-01-11 01:00:00",2612356,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-12 01:00:00",2616101,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-12 04:15:00",2617054,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-13 14:45:00",2621748,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-14 01:30:00",2622313,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-14 04:45:00",2624529,"cancelled","couples",NULL,NULL,"female","female","sports","deep"
"2017-01-14 19:15:00",2626333,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-01-17 22:00:00",2640068,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-01-18 04:00:00",2641582,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-19 02:15:00",2644603,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-20 04:30:00",2649173,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-20 04:45:00",2649189,"cancelled","single","male","deep",NULL,NULL,NULL,NULL
"2017-01-21 00:00:00",2650580,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-21 20:30:00",2653214,"cancelled","back_to_back","female",NULL,NULL,NULL,"swedish","deep"
"2017-01-21 15:30:00",2654708,"cancelled","couples",NULL,NULL,"female","female","deep","swedish"
"2017-01-22 04:15:00",2657975,"cancelled","single","either","swedish",NULL,NULL,NULL,NULL
"2017-01-25 03:15:00",2669499,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-25 03:45:00",2669670,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-25 04:45:00",2670017,"cancelled","single","male","swedish",NULL,NULL,NULL,NULL
"2017-01-28 00:45:00",2680072,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-29 00:45:00",2684504,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-01-29 02:45:00",2684884,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-01 21:00:00",2700536,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-02 04:45:00",2701525,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-02-03 04:00:00",2705082,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-04 04:30:00",2709116,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-05 04:30:00",2715166,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-06 04:00:00",2719628,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-07 04:30:00",2722717,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-02-07 02:00:00",2723388,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-08 02:00:00",2727424,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-08 04:45:00",2728019,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-12 00:00:00",2743007,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-12 01:15:00",2744883,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-12 04:30:00",2745836,"cancelled","couples",NULL,NULL,"female","female","swedish","swedish"
"2017-02-13 02:30:00",2751649,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-14 15:30:00",2751935,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-02-14 04:15:00",2757616,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-15 02:15:00",2759549,"cancelled","couples",NULL,NULL,"female","either","deep","deep"
"2017-02-15 04:45:00",2763616,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-16 03:30:00",2767432,"cancelled","back_to_back","female",NULL,NULL,NULL,"swedish","sports"
"2017-02-16 02:45:00",2767565,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-16 03:15:00",2767813,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-17 15:30:00",2773712,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-18 18:00:00",2782127,"cancelled","couples",NULL,NULL,"female","female","deep","deep"
"2017-02-19 04:30:00",2786359,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-02-20 03:15:00",2792399,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-02-20 04:30:00",2792895,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-22 04:30:00",2803639,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-23 03:00:00",2807262,"cancelled","couples",NULL,NULL,"female","female","sports","swedish"
"2017-02-23 04:30:00",2807598,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-02-24 04:00:00",2811683,"cancelled","single","female","sports",NULL,NULL,NULL,NULL
"2017-02-24 04:00:00",2811770,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-02-25 04:15:00",2815912,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-25 04:30:00",2816193,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-25 04:00:00",2816331,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-26 04:00:00",2821153,"cancelled","couples",NULL,NULL,"either","either","swedish","deep"
"2017-02-26 03:15:00",2822250,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-02-26 17:00:00",2824616,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-02-26 19:15:00",2825270,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-02-27 02:00:00",2827799,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-02-28 02:00:00",2832918,"cancelled","single","male","deep",NULL,NULL,NULL,NULL
"2017-02-28 03:45:00",2833350,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-02-28 05:00:00",2833779,"cancelled","couples",NULL,NULL,"female","female","deep","deep"
"2017-03-01 02:30:00",2836893,"cancelled","back_to_back","female",NULL,NULL,NULL,"swedish","swedish"
"2017-03-01 04:30:00",2837630,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-03-02 04:30:00",2841546,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-02 21:00:00",2843299,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-03-04 04:15:00",2849514,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-05 13:00:00",2856670,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-03-06 02:15:00",2860591,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-07 03:30:00",2865374,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-03-18 02:45:00",2910517,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-18 03:00:00",2910649,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-03-19 01:15:00",2915052,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-19 03:00:00",2915132,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-20 00:15:00",2919970,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-03-20 00:30:00",2920090,"cancelled","couples",NULL,NULL,"female","female","swedish","swedish"
"2017-03-20 01:30:00",2920277,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-20 03:00:00",2921092,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-03-21 03:00:00",2924835,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-21 03:30:00",2925068,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-22 01:30:00",2928169,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-23 15:30:00",2933951,"cancelled","single","male","swedish",NULL,NULL,NULL,NULL
"2017-03-25 02:30:00",2939771,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-03-25 03:45:00",2939851,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-03-26 03:00:00",2945229,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-26 22:30:00",2948514,"cancelled","single","female","sports",NULL,NULL,NULL,NULL
"2017-03-28 02:45:00",2954635,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-03-28 03:45:00",2954773,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-04-01 03:45:00",2969539,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
"2017-04-01 03:45:00",2969830,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-02 02:30:00",2974065,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-04-02 22:45:00",2978058,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-05 03:00:00",2987488,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-10 03:45:00",3008826,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-11 00:00:00",3011255,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-12 01:00:00",3014991,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-18 02:00:00",3039733,"cancelled","back_to_back","female",NULL,NULL,NULL,"deep","swedish"
"2017-04-20 03:30:00",3047717,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-19 02:45:00",3047821,"cancelled","single","either","swedish",NULL,NULL,NULL,NULL
"2017-04-21 03:45:00",3051066,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-21 03:45:00",3051164,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-23 01:45:00",3059119,"cancelled","single","female","swedish",NULL,NULL,NULL,NULL
"2017-04-23 03:45:00",3060009,"cancelled","couples",NULL,NULL,"female","female","swedish","swedish"
"2017-04-23 13:00:00",3061188,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-23 14:15:00",3061274,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-24 01:00:00",3063730,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-24 02:00:00",3064421,"cancelled","single","female","sports",NULL,NULL,NULL,NULL
"2017-04-24 02:15:00",3064568,"cancelled","single","female","deep",NULL,NULL,NULL,NULL
"2017-04-24 02:45:00",3064783,"cancelled","couples",NULL,NULL,"female","female","deep","deep"
"2017-04-25 00:15:00",3068088,"cancelled","single","either","deep",NULL,NULL,NULL,NULL
