user_id,interval_between_bookings,not_book_interval,rank
192,NULL,169,C
283,38,38,B
348,NULL,95,B
882,NULL,176,C
1101,62,62,A
1329,3,3,A
1696,NULL,90,C
1733,NULL,320,C
2091,176,176,B
2438,54,54,B
2518,26,26,C
2531,NULL,245,C
2605,62,62,C
2743,1,1,B
2783,8,8,AA
2814,10,10,A
2821,NULL,93,B
2962,1,1,B
2983,0,0,C
3110,79,79,B
3167,NULL,116,C
3253,NULL,27,C
3340,NULL,335,C
3405,36,36,B
3434,NULL,203,C
3534,8,8,A
3670,NULL,126,C
3808,NULL,85,C
3999,NULL,30,B
4134,NULL,159,C
4260,35,35,B
4266,3,3,A
4329,NULL,312,C
4377,NULL,148,C
4458,0,0,B
4486,NULL,266,C
4693,NULL,137,C
4716,59,59,B
4966,34,34,B
5304,55,55,C
5531,NULL,109,C
5751,32,32,B
5789,0,0,AA
5907,109,109,C
6015,NULL,30,B
6127,NULL,22,B
6182,11,11,A
6478,54,54,B
6538,NULL,43,C
6745,174,174,B
6772,30,30,B
6797,75,75,B
7054,NULL,25,B
7069,26,26,A
7071,NULL,64,B
7352,NULL,275,C
7409,7,7,B
7634,12,12,B
7837,38,38,B
7899,22,22,B
8051,3,3,A
8166,NULL,91,C
8234,147,147,C
8522,NULL,103,C
8664,NULL,241,C
8772,64,64,B
8866,13,13,B
8868,1,1,B
8928,69,69,C
8996,17,17,A
9039,NULL,30,C
9094,NULL,126,C
9157,NULL,5,C
9188,NULL,177,C
9420,25,25,A
9642,7,7,A
9954,221,221,B
10156,NULL,76,C
10287,NULL,128,B
10313,24,24,B
10419,NULL,65,C
10561,NULL,227,C
10595,NULL,56,C
10877,NULL,133,C
10895,NULL,51,C
11037,45,45,A
11135,27,27,B
11177,31,31,B
11350,NULL,15,B
11403,NULL,2,C
11694,26,26,C
11742,224,224,C
11999,NULL,147,B
12294,62,62,B
12297,NULL,283,C
12361,4,4,AA
12633,5,5,B
12983,20,20,B
13543,100,100,B
14002,NULL,98,C
14078,0,0,AAA
14109,121,121,B
14146,168,168,B
14191,NULL,99,B
14262,NULL,131,B
14297,NULL,22,B
14407,NULL,189,C
14423,NULL,11,B
14457,NULL,176,C
14507,15,15,A
14532,7,7,B
14738,NULL,115,B
14763,NULL,282,C
14806,NULL,93,C
14892,37,37,B
15110,NULL,282,C
15191,4,4,B
15309,7,7,B
15449,37,37,B
15842,NULL,59,B
15923,72,72,B
16364,28,28,B
16802,NULL,68,C
16941,109,109,B
17047,7,7,AA
17235,NULL,31,C
17266,61,61,B
17395,NULL,185,C
17525,27,27,A
17657,168,168,C
18128,20,20,B
18231,NULL,57,B
18271,33,33,B
18277,99,99,AA
18526,NULL,74,C
18575,32,32,C
18586,213,213,C
18651,6,6,B
18875,99,99,B
19126,2,2,AA
19318,NULL,240,C
19410,24,24,B
19532,0,0,AA
19596,0,0,A
19622,NULL,318,C
19714,20,20,B
19852,49,49,B
19899,5,5,B
19955,NULL,150,C
20225,7,7,B
20252,NULL,196,C
20395,293,293,C
20458,4,4,C
20468,NULL,97,B
20605,7,7,B
20705,67,67,B
21210,NULL,155,C
21314,NULL,262,C
21333,83,83,B
21493,NULL,177,C
21598,14,14,B
21670,NULL,86,C
21720,NULL,296,C
21869,NULL,99,B
22097,NULL,87,C
22391,NULL,206,C
22851,26,26,B
22909,NULL,5,B
22942,NULL,30,B
23057,69,69,B
23199,4,4,B
23450,69,69,C
23486,NULL,46,B
23533,33,33,B
23540,NULL,159,B
23747,NULL,69,C
23799,0,0,A
24098,43,43,A
24169,195,195,C
24255,NULL,96,B
24294,NULL,302,C
24318,NULL,2,C
24336,1,1,B
24427,54,54,B
24477,59,59,C
24592,NULL,26,C
24599,14,14,B
24736,NULL,16,C
24800,0,0,C
25042,NULL,336,C
25043,NULL,138,C
25047,24,24,AA
25138,NULL,148,C
25147,7,7,A
25153,11,11,AA
25196,10,10,B
25205,14,14,A
25247,57,57,B
25258,83,83,B
25365,NULL,177,C
25422,NULL,176,C
25699,NULL,24,B
25734,0,0,B
25885,32,32,A
25914,1,1,AA
26117,NULL,73,C
