user_id,interval_between_bookings,not_book_interval,rank
283,38,38,B
1101,62,62,A
1329,3,3,A
2091,176,176,B
2438,54,54,B
2518,26,26,C
2605,62,62,C
2743,1,1,B
2783,8,8,AA
2814,10,10,A
2962,1,1,B
2983,0,0,C
3110,79,79,B
3405,36,36,B
3534,8,8,A
4260,35,35,B
4266,3,3,A
4458,0,0,B
4716,59,59,B
4966,34,34,B
5304,55,55,C
5751,32,32,B
5789,0,0,AA
5907,109,109,C
6182,11,11,A
6478,54,54,B
6745,174,174,B
6772,30,30,B
6797,75,75,B
7069,26,26,A
7409,7,7,B
7634,12,12,B
7837,38,38,B
7899,22,22,B
8051,3,3,A
8234,147,147,C
8772,64,64,B
8866,13,13,B
8868,1,1,B
8928,69,69,C
8996,17,17,A
9420,25,25,A
9642,7,7,A
9954,221,221,B
10313,24,24,B
11037,45,45,A
11135,27,27,B
11177,31,31,B
11694,26,26,C
11742,224,224,C
12294,62,62,B
12361,4,4,AA
12633,5,5,B
12983,20,20,B
13543,100,100,B
14078,0,0,AAA
14109,121,121,B
14146,168,168,B
14507,15,15,A
14532,7,7,B
14892,37,37,B
15191,4,4,B
15309,7,7,B
15449,37,37,B
15923,72,72,B
16364,28,28,B
16941,109,109,B
17047,7,7,AA
17266,61,61,B
17525,27,27,A
17657,168,168,C
18128,20,20,B
18271,33,33,B
18277,99,99,AA
18575,32,32,C
18586,213,213,C
18651,6,6,B
18875,99,99,B
19126,2,2,AA
19410,24,24,B
19532,0,0,AA
19596,0,0,A
19714,20,20,B
19852,49,49,B
19899,5,5,B
20225,7,7,B
20395,293,293,C
20458,4,4,C
20605,7,7,B
20705,67,67,B
21333,83,83,B
21598,14,14,B
22851,26,26,B
23057,69,69,B
23199,4,4,B
23450,69,69,C
23533,33,33,B
23799,0,0,A
24098,43,43,A
24169,195,195,C
24336,1,1,B
24427,54,54,B
24477,59,59,C
24599,14,14,B
24800,0,0,C
25047,24,24,AA
25147,7,7,A
25153,11,11,AA
25196,10,10,B
25205,14,14,A
25247,57,57,B
25258,83,83,B
25734,0,0,B
25885,32,32,A
25914,1,1,AA
26463,31,31,B
26756,148,148,C
27181,7,7,B
27304,8,8,B
27558,9,9,B
27638,38,38,C
28164,14,14,B
28765,111,111,C
29193,22,22,B
29213,5,5,AA
29416,45,45,B
29463,180,180,C
29595,6,6,A
30122,40,40,B
30509,5,5,A
31053,16,16,B
31101,168,168,C
31288,92,92,B
31294,100,100,B
31415,8,8,AAA
31431,46,46,B
31901,118,118,A
32030,37,37,B
32031,27,27,B
