diff_zip,quality_score1,quality_score2,quality_score_diff,revenue1,revenue2,discount_ratio1,discount_ratio2,prime_session1,prime_session2,late_session1,late_session2,couple1,couple2,weekend1,weekend2,special_request2,num_hvc,client_rank_label,signup_to_book_interval,booking_interval,income_level,booking_hour_ahead1_On_Demand,booking_hour_ahead2_On_Demand,market_maturity_Mature_Market,market_maturity_Medium_Age_Market,market_maturity_New_Market
1,2.52,3.69,-1.17,238.0,269.61,0.077519,0.0,1,0,0,1,1,1,1,0,0,12,0,90,180,98450,0,1,0,0,0
0,3.65,3.73,-0.08,103.46,134.81,0.224786,0.0,1,1,0,0,0,0,0,0,0,10,0,90,77,62393,1,0,0,0,0
1,3.69,4.28,-0.59,207.96,333.0,0.08773500000000001,0.0,0,1,0,0,0,0,1,0,0,2,0,90,165,72611,0,1,0,0,0
1,1.9,4.92,-3.02,93.01,99.0,0.300729,0.0,0,1,0,0,0,0,0,0,0,4,0,90,180,51700,1,1,0,0,0
0,4.36,4.96,-0.6,139.0,99.0,0.0,0.0,1,1,0,0,0,0,0,0,0,3,0,0,14,64143,1,0,0,0,0
1,4.96,4.96,0.0,99.0,139.0,0.0,0.0,1,1,0,0,0,0,1,0,0,8,0,9,119,27499,0,1,0,0,0
0,2.54,3.09,-0.55,139.0,119.0,0.0,0.14388499999999999,0,0,1,1,0,0,0,0,0,8,0,70,125,27499,1,1,0,0,0
0,4.92,3.69,1.23,69.0,145.0,0.30303,0.0,0,0,0,0,0,0,0,0,0,27,0,90,21,70421,1,1,0,0,0
1,3.71,3.13,0.58,198.0,99.0,0.0,0.0,0,0,1,0,1,0,1,0,0,27,0,90,180,70421,1,1,0,0,0
1,4.92,4.32,0.6,169.0,145.0,0.0,0.0,0,0,1,1,0,0,0,1,0,27,0,90,19,70421,1,1,0,0,0
1,4.96,3.13,1.83,139.0,99.0,0.0,0.0,1,1,0,0,0,0,1,1,0,6,0,81,180,64887,1,0,0,0,0
0,4.96,0.0,4.96,99.0,99.0,0.0,0.0,1,1,0,0,0,0,0,0,0,20,0,12,10,40441,0,0,0,0,0
