diff_zip,prime_session1,prime_session2,late_session1,late_session2,couple1,couple2,weekend1,weekend2,special_request2,booking_hour_ahead1_On_Demand,booking_hour_ahead2_On_Demand,market_maturity_Mature_Market,market_maturity_Medium_Age_Market,market_maturity_New_Market,signup_to_book_interval,booking_interval,quality_score1,quality_score2,quality_score_diff,revenue1,revenue2,discount_ratio1,discount_ratio2,income_level,num_hvc
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.122222222,0.038888889,0.75,0.388,0.682459677,0.243867244,0.284511785,0,0,0.376592765,0.235955056
0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0.984,0.746,0.619959677,0.0995671,0.166666667,0.30303,0,0.252131619,0.112359551
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.011111111,0.322222222,0.984,0.992,0.495967742,0.0995671,0.183501684,0.30303,0.215827,0.526075782,0.02247191
1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.283333333,0.984,0.872,0.556451613,0.142857143,0.158249158,0,0.050505,0.1324482,0.269662921
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0.872,0.824,0.524193548,0.401154401,0.166666667,0,0,0.229920175,0.04494382
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011111111,0,0.618,0.618,0.5,0,0,0,0,0.286790537,0.06741573
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.055555556,0.992,0.864,0.564516129,0.243867244,0.234006734,0,0,0.210482895,0
1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0.155555556,0.868,0.356,0.758064516,0.165945166,0.234006734,0.206897,0.177515,0.432017116,0.280898876
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.111111111,1,1,0.5,0.142857143,0.166666667,0,0,0.257956457,0.101123596
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0.011111111,1,0.5,0.872,0.3125,0.142857143,0.234006734,0,0,0.139832372,0.02247191
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.022222222,0.976,0.984,0.495967742,0.209235209,0.116161616,0,0.30303,0.463761349,0.06741573
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077777778,0.626,0.746,0.439516129,0.142857143,0.141414141,0,0.151515,0.329123736,0.191011236
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.011111111,0.144444444,0.634,0.634,0.5,0.142857143,0.132996633,0,0.20202,0.244815441,0.011235955
0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0.222222222,0.072222222,0.642,0.61,0.516129032,0.0995671,0.166666667,0.30303,0,0.113980971,0.06741573
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.116666667,0.864,0.508,0.679435484,0.142857143,0.166666667,0,0,0.267697761,0.04494382
1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.327777778,0.634,0.634,0.5,0.200577201,0.234006734,0,0,0.216593308,0.011235955
0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0.822222222,0.634,0.634,0.5,0.142857143,0.166666667,0,0,0.240015049,0.02247191
0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.738,0.626,0.556451613,0.200577201,0.166666667,0,0,0.296749423,0.134831461
0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0.9,0.005555556,0.754,0.508,0.623991935,0.121212121,0.166666667,0.151515,0,0.316349889,0.011235955
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.73,0.984,0.371975806,0.229437229,0.267676768,0,0,0.197582126,0.056179775
0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0.022222222,0.055555556,0.856,0.984,0.435483871,0.215007215,0.284511785,0.118343,0,0.61003504,0.202247191
0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.011111111,0.311111111,0.806,0.508,0.650201613,0.401154401,0.234006734,0,0,0.311109802,0.382022472
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.561111111,0.992,0.996,0.497983871,0.200577201,0.45959596,0,0,0.61003504,0.202247191
0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0.566666667,0.984,0.482,0.753024194,0.113997114,0.116161616,0.20202,0.30303,0.22875974,0.348314607
0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0.138888889,0.976,0.976,0.5,0.142857143,0.166666667,0,0,0.282098936,0.191011236
0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0.511111111,0.2,0.642,0.642,0.5,0.200577201,0,0,1,0.28162751,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.011111111,1,0.992,0.976,0.508064516,0.0995671,0,0.30303,1,0.470742089,0.179775281
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.466,0.992,0.234879032,0.113997114,0.166666667,0.20202,0,0.054807871,0.02247191
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.811111111,0.984,0.618,0.684475806,0.142857143,0.166666667,0,0,0.585371271,0.617977528
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.011111111,0.061111111,0.746,0.634,0.556451613,0.200577201,0.284511785,0,0,0.286808669,0.011235955
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0.1,0,0.984,0.634,0.67641129,0.142857143,0.166666667,0,0,0.254185044,0.011235955
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.033333333,0.992,0.754,0.619959677,0.229437229,0.345117845,0,0,0.291464006,0.02247191
0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.094444444,0.992,0.916,0.538306452,0.266955267,0.505050505,0,0,0.258287362,0.191011236
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.005555556,0.762,0.762,0.5,0.200577201,0.234006734,0,0,0.231402449,0.157303371
1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0.512,0.738,0.38608871,0.285714286,0.166666667,0,0,0.28813229,1
0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0.033333333,0.6,0.988,0.626,0.682459677,0.401154401,0.324915825,0,0,0.10967467,0
0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0.422222222,0.992,0.992,0.5,0.142857143,0.244107744,0,0,0.289097807,0.033707865
1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0.488,0.372,0.558467742,0.372294372,0.175,0,0,0.305235101,0.101123596
0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0.033333333,0.864,0.746,0.559475806,0.142857143,0.166666667,0,0,0.237431269,0.191011236
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.711111111,0.738,0.618,0.560483871,0.142857143,0.183501684,0,0.215827,0.323344228,0.033707865
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.055555556,0.038888889,0.746,0.992,0.376008065,0.142857143,0.166666667,0,0,0.920401438,0.191011236
0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.061111111,0.88,0.618,0.632056452,0.142857143,0.311447811,0,0,0.381211838,0.056179775
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0.277777778,0.738,0.872,0.432459677,0.200577201,0.234006734,0,0,0.096293409,0.06741573
0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0.088888889,0.427777778,0.864,0.864,0.5,0.142857143,0.217171717,0,0.071942,0.171989103,0.224719101
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.166666667,0.038888889,0.626,0.634,0.495967742,0,0,0,0,0.257956457,0.101123596
0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0.033333333,0.63,0.984,0.321572581,0.229437229,0.191919192,0,0.283019,0.567244013,0
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0.005555556,0.984,0.984,0.5,0.193362193,0.234006734,0.035971,0,0.520686107,0.056179775
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.674,0.864,0.404233871,0.142857143,0.116161616,0,0.30303,0.338457075,0.539325843
0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0.305555556,0.73,0.984,0.371975806,0.0995671,0.166666667,0.30303,0,0.195079939,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.73,0.618,0.556451613,0.073896104,0.226952862,0.60971,0,0.406496621,0.06741573
0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0.766666667,0.754,0.746,0.504032258,0.113997114,0.358585859,0.275229,0,0.303467252,0.033707865
1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0.222222222,0.864,0.618,0.623991935,0.142857143,0.109427609,0,0,0.307886876,0.303370787
0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0.344444444,0.746,0.626,0.560483871,0.0995671,0.166666667,0.30303,0,0.28813229,1
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.016666667,0.618,0.618,0.5,0.285714286,0.166666667,0,0,0.16814063,0
0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0.127777778,0.626,0.626,0.5,0.200577201,0.234006734,0,0,0.326653279,0.033707865
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0.033333333,0.864,0.984,0.439516129,0.209235209,0.166666667,0,0,0.100917015,0.224719101
0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0.083333333,0.754,0.404,0.67641129,0.142857143,0.183501684,0,0,0.250001133,0.033707865
0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0.116666667,0.618,0.74,0.438508065,0.401154401,0.468013468,0,0,0.332514381,0.033707865
0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0.294444444,0.482,0.984,0.246975806,0.242424242,0.166666667,0.151515,0,0.61003504,0.202247191
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.094444444,0.984,0.746,0.619959677,0.142857143,0.217171717,0,0.071942,0.481575834,0
0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0.644444444,0.055555556,0.634,0.508,0.563508065,0,0,1,1,0.373075197,0.191011236
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.133333333,0.746,0,0.876008065,0.070707071,0.166666667,0.505051,0,0.639907165,0.91011236
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.95,0.992,0.61,0.692540323,0.26992785,0.226952862,0,0,0.407330683,0.179775281
0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0.711111111,0.492,0.508,0.491935484,0.113997114,0.116161616,0.20202,0.30303,0.330442824,0.011235955
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.066666667,0.705555556,0.508,0.984,0.260080645,0.171717172,0.166666667,0.143885,0,0.383800151,0
1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0.033333333,0.864,0.792,0.536290323,0.171717172,0.451178451,0.143885,0.035971,0.325075814,0.213483146
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.183333333,0.482,0.992,0.242943548,0.200577201,0.284511785,0,0,0.342287416,0.02247191
0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0.122222222,0.677777778,0.686,0.742,0.471774194,0.401154401,0.468013468,0,0,0.603353475,0.134831461
