"user_id","sign_up_to_book","interval_between_bookings","hours_ahead1","hours_ahead2","median_income","diff_zip","city_id","quality_score1","quality_score2","quality_score_diff","revenue1","revenue2","discount_ratio1","discount_ratio2","prime_session1","prime_session2","late_session1","late_session2","couple1","couple2","weekend1","weekend2","special_request2","num_hvc","rank"
5668,385,305,22,2,98450,1,10,2.81,3.69,-0.88,238.00,269.61,0.077519,0.000000,1,0,0,1,1,1,1,0,0,10,"C"
9094,788,77,3,4,62393,0,10,3.65,3.73,-0.08,103.46,134.81,0.224786,0.000000,1,1,0,0,0,0,0,0,0,9,"C"
5999,472,165,5,2,72611,1,10,3.69,4.28,-0.59,207.96,333.00,0.087735,0.000000,0,1,0,0,0,0,1,0,0,2,"C"
5592,447,214,2,2,51700,1,10,1.90,4.92,-3.02,93.01,99.00,0.300729,0.000000,0,1,0,0,0,0,0,0,0,4,"C"
7133,0,14,3,6,64143,0,4,4.36,4.96,-0.60,139.00,99.00,0.000000,0.000000,1,1,0,0,0,0,0,0,0,3,"C"
6058,9,119,4,3,27499,1,4,4.96,4.96,0.00,99.00,139.00,0.000000,0.000000,1,1,0,0,0,0,1,0,0,10,"C"
6899,70,125,1,1,27499,0,4,2.54,3.09,-0.55,139.00,119.00,0.000000,0.143885,0,0,1,1,0,0,0,0,0,10,"C"
1101,1157,21,1,1,70421,0,4,4.92,3.69,1.23,69.00,145.00,0.303030,0.000000,0,0,0,0,0,0,0,0,0,25,"B"
5306,321,367,2,1,70421,1,4,3.69,3.13,0.56,198.00,99.00,0.000000,0.000000,0,0,1,0,1,0,1,0,0,25,"C"
6745,824,19,1,1,70421,1,4,4.92,4.32,0.60,169.00,145.00,0.000000,0.000000,0,0,1,1,0,0,0,1,0,25,"B"
6244,81,259,2,4,64887,1,4,4.96,3.13,1.83,139.00,99.00,0.000000,0.000000,1,1,0,0,0,0,1,1,0,6,"B"
5972,12,10,6,7,40441,0,4,4.96,0.00,4.96,99.00,99.00,0.000000,0.000000,1,1,0,0,0,0,0,0,0,18,"B"
5977,1,840,10,1,40441,1,4,2.02,3.09,-1.07,99.00,168.00,0.000000,0.151515,0,0,0,0,0,1,1,1,0,18,"C"
8308,1,24,28,24,40441,0,4,2.54,2.54,0.00,99.00,99.00,0.000000,0.000000,0,0,0,0,0,0,0,1,0,18,"B"
5120,100,24,1,1,44342,0,4,1.86,1.98,-0.12,0.00,99.00,1.000000,0.000000,1,1,0,0,0,0,0,1,0,4,"C"
4903,0,104,5,1,48799,0,4,1.86,3.65,-1.79,40.00,99.00,0.712230,0.000000,0,0,1,1,0,0,0,0,0,61,"A"
5781,507,60,1,1,48799,0,4,5.00,3.13,1.87,79.00,99.00,0.202020,0.000000,1,0,0,1,0,0,0,0,1,61,"C"
5891,0,264,5,1,48799,0,4,0.00,3.65,-3.65,0.00,119.00,1.000000,0.143885,1,0,0,0,0,0,0,0,0,61,"C"
6127,954,69,4,3,48799,1,4,3.75,3.73,0.02,0.00,0.00,0.000000,0.000000,0,0,1,1,0,0,0,1,0,61,"B"
6503,0,6,1,4,48799,1,4,1.62,2.54,-0.92,139.00,139.00,0.000000,0.000000,0,0,1,0,0,0,1,1,0,61,"A"
7454,0,16,1,1,48799,0,4,3.19,1.27,1.92,198.00,198.00,0.000000,0.000000,0,0,1,1,1,1,1,0,0,61,"C"
8051,650,153,2,1,48799,0,4,2.54,3.39,-0.85,69.00,99.00,0.303030,0.000000,0,1,0,0,0,0,1,0,0,61,"B"
8162,356,12,2,1,48799,0,4,4.96,3.69,1.27,79.00,84.00,0.202020,0.151515,1,0,0,0,0,0,1,1,0,61,"C"
8496,71,13,2,5,48799,1,4,4.96,3.17,1.79,139.00,139.00,0.000000,0.000000,1,0,0,1,0,0,1,1,0,61,"B"
8557,0,364,1,1,48799,0,4,1.98,3.71,-1.73,198.00,89.00,0.000000,0.101010,0,1,0,0,1,0,1,1,0,61,"C"
4905,0,85,4,1,86562,0,4,4.96,4.96,0.00,0.00,169.00,1.000000,0.000000,0,1,1,0,0,0,0,1,0,34,"B"
7263,14,18,1,4,86562,1,4,2.54,4.36,-1.82,99.00,139.00,0.000000,0.000000,0,0,1,1,0,0,0,1,0,34,"C"
7452,92,424,0,3,86562,1,4,3.17,3.73,-0.56,169.00,169.00,0.000000,0.000000,0,1,1,0,0,0,0,1,0,34,"C"
7559,3,0,73,74,86562,0,4,4.96,4.96,0.00,0.00,59.00,1.000000,0.404040,1,1,0,0,0,0,1,1,0,34,"C"
5562,69,275,1,1,40148,1,4,4.36,3.09,1.27,99.00,99.00,0.000000,0.000000,0,1,0,0,0,0,0,1,0,16,"B"
7774,0,9,1,27,40148,0,4,4.96,4.96,0.00,0.00,139.00,1.000000,0.000000,1,1,0,0,0,0,1,0,0,16,"C"
8384,0,262,13,8,40148,0,4,2.02,3.17,-1.15,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,0,1,0,16,"C"
7028,29,37,1,1,65690,0,4,2.02,0.00,2.02,99.00,139.00,0.000000,0.000000,0,0,1,1,0,0,1,0,0,8,"C"
6141,149,86,1,1,53543,0,4,1.86,3.69,-1.83,139.00,139.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,2,"C"
7040,481,29,1,1,104687,0,4,3.05,3.17,-0.12,119.00,119.00,0.143885,0.143885,0,0,1,1,0,0,0,1,0,8,"B"
5304,778,139,21,1,55814,0,4,3.77,3.77,0.00,69.00,69.00,0.303030,0.303030,0,0,0,0,0,0,0,0,1,22,"C"
8104,2,898,1,8,55814,1,4,1.90,4.32,-2.42,99.00,134.81,0.000000,0.000000,1,0,0,1,0,0,0,0,0,22,"C"
7868,7,7,1,1,72690,0,4,1.62,2.02,-0.40,99.00,99.00,0.000000,0.000000,0,0,0,0,0,0,0,0,0,2,"C"
4861,0,20,6,1,69592,0,4,4.96,4.96,0.00,0.00,0.00,1.000000,1.000000,1,0,0,0,0,0,0,0,0,9,"C"
5852,32,78,1,0,69592,0,4,1.82,4.96,-3.14,139.00,99.00,0.000000,0.000000,1,0,0,1,0,0,1,0,0,9,"B"
5238,174,350,1,2,77351,1,4,3.09,3.13,-0.04,99.00,99.00,0.000000,0.000000,1,0,0,1,0,0,0,0,0,1,"C"
5228,671,237,25,32,69728,0,4,3.21,2.56,0.65,139.00,99.00,0.000000,0.000000,1,1,0,0,0,0,0,0,1,1,"C"
8546,977,50,4,5,94715,0,18,4.96,4.96,0.00,99.00,109.00,0.000000,0.000000,1,0,0,1,0,0,0,0,0,15,"B"
8123,321,169,1,1,61110,0,18,2.54,4.32,-1.78,89.00,139.00,0.359712,0.000000,1,1,0,0,0,0,1,1,0,8,"C"
5393,469,180,8,1,85578,1,18,4.96,3.69,1.27,119.00,129.00,0.143885,0.071942,0,0,0,1,0,0,0,1,0,20,"C"
6118,502,465,1,1,85578,1,18,1.46,3.73,-2.27,79.00,99.00,0.202020,0.000000,0,0,0,0,0,0,0,1,0,20,"C"
8820,290,2,1,3,85578,0,18,1.78,2.46,-0.68,149.00,40.00,0.118343,0.763314,0,0,1,1,0,0,0,0,0,20,"C"
2743,848,4,1,1,83417,0,18,4.96,4.96,0.00,99.00,99.00,0.000000,0.000000,0,1,0,0,0,0,1,0,0,2,"A"
5294,587,114,1,1,70982,1,17,2.97,3.69,-0.72,273.00,139.00,0.017986,0.000000,1,0,0,1,1,0,1,0,0,15,"C"
7523,332,148,3,349,97791,1,17,3.13,3.37,-0.24,99.00,198.00,0.000000,0.000000,0,0,1,0,0,1,0,1,0,4,"C"
7024,542,461,1,1,82288,1,17,2.54,4.32,-1.78,99.00,99.00,0.000000,0.000000,1,1,0,0,0,0,0,0,0,1,"C"
5789,935,4,1,4,65353,0,12,3.09,4.96,-1.87,185.00,185.00,0.000000,0.000000,0,0,0,0,0,0,1,0,0,31,"A"
7730,223,105,13,10,65353,1,12,3.73,3.73,0.00,99.00,169.00,0.000000,0.000000,0,0,0,0,0,0,1,1,0,31,"C"
6797,786,48,26,2,66421,0,38,4.09,4.96,-0.87,69.00,99.00,0.303030,0.000000,0,0,0,0,0,0,1,0,1,5,"B"
6789,483,7,0,1,28267,0,3,3.17,3.17,0.00,119.00,124.00,0.143885,0.266272,1,1,0,0,0,0,0,0,0,1,"B"
6994,539,74,1,22,28267,1,3,3.13,3.13,0.00,94.00,139.00,0.050505,0.000000,0,1,0,0,0,0,1,0,0,1,"B"
6884,259,25,4,1,28008,0,3,1.90,1.90,0.00,278.00,169.00,0.000000,0.000000,1,1,0,0,1,0,0,0,0,2,"C"
8952,0,0,14,13,43555,0,3,1.64,2.50,-0.86,99.00,99.00,0.000000,0.000000,0,0,0,0,0,0,1,1,0,2,"C"
9184,44,7,2,1,43555,0,3,1.74,2.15,-0.41,99.00,99.00,0.000000,0.000000,1,1,0,0,0,0,1,1,0,2,"A"
6248,31,3,1,4,61619,0,3,3.73,3.17,0.56,99.00,139.00,0.000000,0.000000,0,0,1,1,0,0,0,1,0,9,"A"
6725,0,145,4,2,61619,0,3,1.74,3.13,-1.39,198.00,198.00,0.000000,0.000000,1,0,0,1,1,1,0,0,0,9,"C"
5034,265,13,1,2,55343,0,3,3.13,1.62,1.51,99.00,99.00,0.000000,0.000000,0,1,0,0,0,0,1,1,0,7,"C"
6362,387,87,2,3,55343,1,3,3.15,3.09,0.06,79.00,139.00,0.202020,0.000000,0,1,1,0,0,0,1,0,0,7,"B"
6843,394,447,4,2,124687,0,3,2.54,3.69,-1.15,119.00,169.00,0.143885,0.000000,1,0,0,0,0,0,1,1,0,7,"C"
7492,6,68,26,2,124687,0,3,2.73,2.24,0.49,168.00,278.00,0.151515,0.000000,1,0,0,0,1,1,1,1,0,7,"B"
7862,466,84,4,4,124687,0,3,3.13,3.73,-0.60,89.00,169.00,0.359712,0.000000,1,1,0,0,0,0,1,1,0,7,"C"
7637,13,4,22,2,87185,0,3,1.74,2.50,-0.76,99.00,99.00,0.000000,0.000000,0,1,0,0,0,0,0,0,0,5,"C"
7636,0,49,6,6,120666,0,3,3.73,3.73,0.00,0.00,0.00,1.000000,1.000000,1,0,0,1,1,1,0,0,0,5,"C"
7767,1,14,1,2,75452,0,3,1.74,3.11,-1.37,139.00,169.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,7,"B"
8874,0,11,22,21,93923,0,3,2.02,2.02,0.00,198.00,99.00,0.000000,0.000000,1,1,0,0,0,0,1,0,0,3,"C"
3988,1193,30,1,1,37456,1,31,3.77,3.13,0.64,134.00,109.00,0.157233,0.155039,1,1,0,0,0,0,0,1,0,18,"A"
281,0,540,1,4,40358,0,2,3.17,3.17,0.00,139.00,139.00,0.000000,0.000000,0,0,1,1,0,0,1,1,0,12,"C"
1139,2,65,20,5,40358,0,2,3.17,4.36,-1.19,49.00,59.00,0.505051,0.404040,0,1,0,0,0,0,1,0,0,12,"C"
1167,0,438,1,0,40358,0,2,2.54,4.92,-2.38,169.00,99.00,0.000000,0.000000,1,0,0,1,0,0,0,0,0,12,"C"
1444,7,25,11,1,40358,0,2,3.17,4.36,-1.19,99.00,139.00,0.000000,0.000000,0,1,0,0,0,0,1,0,0,12,"C"
1681,3,490,72,8,40358,1,2,2.54,3.21,-0.67,119.00,99.00,0.143885,0.000000,0,1,0,0,0,0,1,1,0,12,"C"
3336,236,34,23,7,40358,0,2,4.92,4.28,0.64,99.00,139.00,0.000000,0.000000,1,0,0,1,0,0,0,0,0,12,"C"
4320,618,62,1,1,40358,0,2,4.88,4.28,0.60,0.00,0.00,1.000000,1.000000,1,1,0,0,0,0,0,0,0,12,"B"
4769,0,617,1,5,40358,0,2,4.28,3.13,1.15,99.00,99.00,0.000000,0.000000,1,0,0,1,0,0,0,1,0,12,"C"
8015,4,128,1,1,40358,0,2,3.73,3.13,0.60,99.00,99.00,0.000000,0.000000,1,1,0,0,0,0,0,0,0,12,"C"
315,7,5,1,-16,36058,1,2,2.54,2.54,0.00,139.00,139.00,0.000000,0.000000,0,0,1,1,0,0,0,1,0,2,"AA"
983,442,0,8,8,36058,0,2,4.92,4.92,0.00,139.00,139.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,2,"C"
2537,326,14,1,1,36058,0,2,3.13,3.69,-0.56,99.00,99.00,0.000000,0.000000,0,1,0,0,0,0,1,1,0,2,"B"
1266,0,80,1,1,29939,0,2,3.09,3.13,-0.04,99.00,99.00,0.000000,0.000000,0,0,1,0,0,0,0,0,0,3,"C"
790,0,803,3,1,40973,0,2,2.54,3.69,-1.15,139.00,169.00,0.000000,0.000000,1,1,0,0,0,0,1,1,0,1,"C"
4636,0,41,1,2,39775,0,2,4.28,2.41,1.87,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,1,1,0,6,"C"
6833,0,1,2,2,39775,0,2,4.36,3.13,1.23,99.00,139.00,0.000000,0.000000,1,1,0,0,0,0,0,0,0,6,"C"
7537,1,241,3,1,39775,0,2,4.92,4.92,0.00,99.00,99.00,0.000000,0.000000,0,1,1,0,0,0,0,1,0,6,"C"
7591,50,99,5,21,39775,0,2,4.32,4.32,0.00,278.00,198.00,0.000000,0.000000,1,1,0,0,1,1,0,1,0,6,"C"
1447,26,224,6,6,17628,0,2,2.54,4.36,-1.82,99.00,99.00,0.000000,0.000000,1,0,0,1,0,0,0,0,0,6,"B"
2226,0,0,1,2,17628,0,2,2.58,2.58,0.00,99.00,139.00,0.000000,0.000000,0,0,1,1,0,0,1,1,0,6,"A"
3595,83,276,1,1,17628,0,2,4.60,4.32,0.28,198.00,198.00,0.000000,0.000000,1,0,0,1,1,1,1,0,0,6,"C"
6903,297,19,3,0,17628,0,2,3.13,3.73,-0.60,79.00,99.00,0.202020,0.000000,0,0,1,1,0,0,0,1,0,6,"C"
8978,1,0,3,3,17628,0,2,3.73,4.92,-1.19,198.00,99.00,0.000000,0.000000,1,1,0,0,1,0,0,0,0,6,"C"
8981,0,496,1,16,17628,0,2,4.92,3.09,1.83,99.00,99.00,0.000000,0.000000,1,0,0,0,0,0,1,1,0,6,"C"
148,878,90,4,1,13832,0,2,4.96,4.28,0.68,29.00,99.00,0.707071,0.000000,0,1,0,0,0,0,1,1,0,5,"C"
1598,0,12,3,15,13832,0,2,2.54,3.17,-0.63,99.00,198.00,0.000000,0.000000,0,0,1,0,0,1,0,0,0,5,"C"
3322,646,34,1,1,13832,0,2,4.92,4.92,0.00,99.00,99.00,0.000000,0.000000,1,0,0,0,0,0,1,1,0,5,"B"
3340,771,3,1,1,13832,0,2,3.09,4.28,-1.19,99.00,99.00,0.000000,0.000000,1,0,0,1,0,0,1,0,0,5,"C"
5505,299,51,1,1,13832,0,2,4.32,3.17,1.15,99.00,99.00,0.000000,0.000000,1,0,0,0,0,0,0,0,0,5,"C"
6150,407,14,8,5,13832,0,2,4.96,4.32,0.64,119.00,129.00,0.143885,0.071942,0,0,1,1,0,0,1,1,0,5,"B"
7596,0,15,8,12,13832,0,2,2.58,2.58,0.00,139.00,139.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,5,"C"
529,0,2,17,20,24762,0,2,3.17,3.17,0.00,99.00,99.00,0.000000,0.000000,0,0,0,0,0,0,0,1,0,19,"C"
2182,0,108,3,3,24762,0,2,3.73,3.73,0.00,49.00,79.00,0.505051,0.202020,0,1,1,0,0,0,0,1,0,19,"C"
2405,0,430,1,3,24762,1,2,2.46,3.13,-0.67,198.00,139.00,0.000000,0.000000,1,1,0,0,1,0,1,0,0,19,"C"
2427,448,14,1,10,24762,0,2,3.13,3.21,-0.08,79.00,99.00,0.202020,0.000000,0,0,1,1,0,0,0,0,0,19,"C"
2965,34,32,1,1,24762,0,2,3.73,2.02,1.71,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,19,"C"
3991,553,13,0,2,24762,0,2,4.92,4.03,0.89,173.00,278.00,0.103627,0.000000,0,0,1,1,0,1,1,1,0,19,"A"
4423,0,215,1,0,24762,0,2,4.28,4.92,-0.64,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,19,"C"
6416,0,191,1,1,24762,1,2,1.90,4.32,-2.42,139.00,139.00,0.000000,0.000000,0,0,0,1,0,0,0,1,0,19,"C"
6619,0,55,1,1,24762,0,2,3.73,3.73,0.00,0.00,0.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,19,"C"
6744,14,10,323,5,24762,0,2,4.05,3.73,0.32,0.00,0.00,0.000000,0.000000,0,0,1,1,1,1,0,1,0,19,"C"
