"user_id","frequency","recency","T"
109,280,1623,1624
141,0,0,1198
142,3,828,1632
143,0,0,1603
148,1,90,761
150,0,0,664
151,1,79,966
153,0,0,1619
155,0,0,756
159,6,1440,1512
161,0,0,1260
162,0,0,1595
166,1,787,1624
167,0,0,824
170,0,0,1632
175,0,0,1295
178,0,0,181
181,1,179,558
187,0,0,718
192,1,10,370
195,0,0,1635
201,13,1073,1556
203,0,0,1634
204,0,0,1634
211,3,677,1071
212,35,1081,1631
233,46,1225,1621
234,8,411,1621
236,1,623,1093
237,18,117,1620
238,0,0,1620
239,0,0,1619
244,0,0,1619
245,14,1343,1619
252,0,0,1617
258,0,0,930
268,4,380,1400
269,2,2,1612
275,1,865,1611
281,12,921,1608
283,5,109,442
294,4,926,1604
297,11,1399,1438
298,1,2,1603
302,7,1336,1603
307,0,0,1602
311,0,0,1601
314,1,0,1589
315,84,1582,1592
318,1,0,1599
321,5,182,1598
324,1,997,1598
325,0,0,1598
326,1,1,1597
327,0,0,1597
328,9,1255,1597
329,0,0,1597
334,1,0,1595
335,9,1138,1595
338,2,1310,1594
340,0,0,1594
341,113,1575,1594
345,1,0,1594
346,2,135,1594
347,3,1281,1594
348,4,155,286
349,1,387,1594
350,1,507,585
351,0,0,1593
358,1,218,679
359,46,844,851
362,0,0,1590
363,1,0,1590
364,174,1589,1590
367,9,664,1589
368,0,0,1589
369,20,1456,1589
372,4,333,1587
374,2,21,1586
375,0,0,1586
376,0,0,1585
379,1,1544,1585
384,0,0,1584
385,70,1178,1584
386,0,0,1584
388,5,939,1582
391,11,1470,1560
392,1,1,1583
393,0,0,1582
394,21,1576,1582
397,3,1384,1582
398,0,0,1581
399,0,0,1581
400,48,1206,1581
401,0,0,1580
402,0,0,1580
403,0,0,1580
404,2,689,1579
411,0,0,1577
412,0,0,1577
413,0,0,1577
420,0,0,1576
421,8,996,1575
423,1,560,1574
424,12,1505,1573
425,12,1470,1573
428,8,1369,1571
435,9,1206,1570
438,3,32,1570
442,3,533,563
444,27,1547,1567
445,17,1440,1475
446,0,0,1566
447,0,0,1182
449,39,1562,1565
451,1,4,1564
452,26,209,1564
453,0,0,1563
454,0,0,1563
455,3,1315,1563
456,4,212,837
457,19,1545,1556
461,0,0,1516
462,43,1453,1561
463,0,0,1560
466,0,0,1560
467,2,136,1560
468,2,913,1559
469,0,0,1559
471,0,0,1558
473,0,0,1558
474,2,365,1558
478,1,0,1557
479,1,321,1556
481,3,0,1555
484,0,0,1555
485,1,0,1555
487,0,0,1554
490,0,0,1554
491,0,0,1553
492,0,0,1553
493,0,0,1552
494,1,7,1552
497,8,1075,1552
498,1,120,699
500,0,0,1550
503,0,0,1549
507,0,0,1547
510,18,1295,1547
511,5,946,1546
512,0,0,1521
513,0,0,376
515,10,1140,1546
516,4,555,1545
518,192,1543,1545
520,0,0,1544
521,0,0,1544
522,0,0,1543
524,29,709,1543
525,13,493,1543
526,5,1300,1543
529,1,1,1540
532,0,0,1496
535,0,0,1499
536,1,1100,1539
537,10,1296,1539
538,0,0,1539
539,0,0,1539
540,42,1435,1539
542,0,0,1538
545,0,0,1537
548,1,0,1536
552,0,0,1534
556,0,0,1532
557,0,0,1531
565,15,587,1527
570,0,0,1526
573,5,1210,1526
574,0,0,655
576,2,133,1525
578,0,0,1525
581,0,0,1525
582,7,451,1523
583,7,355,1523
584,1,436,1523
585,3,1502,1523
586,0,0,1522
588,0,0,313
593,1,77,1520
596,10,1490,1520
598,0,0,1519
599,0,0,1519
601,59,1494,1512
603,15,1021,1518
604,34,1499,1518
611,9,1161,1515
613,1,0,1514
615,1,918,1514
623,0,0,1513
627,0,0,1511
629,15,1494,1510
630,1,990,1510
631,0,0,1510
632,1,705,1510
633,0,0,1505
637,2,591,1508
639,0,0,1507
641,12,966,1506
642,1,894,1506
644,1,0,1505
648,0,0,1503
651,3,3,1502
652,0,0,1502
653,14,964,1502
654,0,0,1502
655,1,472,1502
656,0,0,1501
657,0,0,1501
658,25,1057,1501
660,0,0,1501
661,3,28,1499
667,0,0,1498
668,0,0,1461
669,12,892,1489
672,1,724,1497
674,0,0,1496
675,0,0,1496
680,10,350,1493
681,1,24,1493
686,1,10,1491
692,0,0,1490
693,0,0,1465
700,8,1469,1489
704,0,0,1487
705,1,1,1487
707,0,0,1486
709,5,1461,1485
711,1,5,1485
712,3,607,1484
713,0,0,1484
718,0,0,1483
719,0,0,1483
720,0,0,1482
722,2,716,1456
723,0,0,1482
724,7,666,1482
726,0,0,1481
727,3,802,1481
728,0,0,1481
730,0,0,1002
731,0,0,1475
734,1,3,1480
735,0,0,1480
737,0,0,1478
740,0,0,1478
748,0,0,1478
749,0,0,1478
750,0,0,1477
757,9,1153,1475
758,15,1430,1475
759,51,1472,1475
761,2,723,1151
764,2,2,1473
766,14,654,907
771,3,734,1472
772,19,1300,1376
774,6,1238,1332
775,5,871,1472
778,2,814,1465
779,1,53,1471
780,0,0,1471
784,0,0,1469
785,0,0,1469
788,3,305,1468
790,4,1282,1468
791,0,0,1467
796,0,0,1467
797,13,128,1424
798,1,395,1466
799,5,1347,1466
801,11,373,1466
802,0,0,1465
803,1,18,1465
805,14,1372,1465
806,0,0,1465
807,0,0,1465
809,1,1025,1464
813,0,0,1463
814,1,967,1462
819,0,0,1385
820,0,0,1461
821,15,1050,1461
823,0,0,1461
824,10,896,1461
826,1,0,1461
827,0,0,1461
828,16,1196,1461
829,2,685,1460
830,0,0,1456
832,5,299,1460
833,0,0,1460
834,0,0,1460
836,0,0,1460
837,0,0,1459
839,4,747,1459
841,64,1335,1459
843,0,0,1459
846,15,1222,1459
847,0,0,1459
848,0,0,1458
850,0,0,1458
852,0,0,1458
854,0,0,853
855,3,1243,1458
856,3,451,1458
857,0,0,1458
859,0,0,1458
860,9,661,1458
861,0,0,1458
862,0,0,1457
864,27,1443,1458
866,0,0,1455
868,0,0,1457
869,0,0,1456
870,3,1331,1456
873,0,0,1456
876,0,0,1456
877,0,0,1455
881,5,1257,1455
882,1,93,455
883,0,0,1446
886,0,0,1210
888,1,628,1455
889,28,1412,1455
896,0,0,1454
900,0,0,1453
901,2,31,1453
902,0,0,1453
905,0,0,1453
907,23,1133,1210
909,0,0,873
917,0,0,1451
918,0,0,1451
921,2,506,1451
924,5,1424,1450
926,10,830,1450
928,0,0,1049
929,19,1354,1450
931,2,0,1450
932,1,25,1428
935,0,0,1449
936,0,0,1449
938,3,392,1449
940,0,0,1448
942,0,0,1448
943,0,0,1448
945,0,0,1448
946,2,0,1448
950,17,971,1447
951,1,0,1447
952,3,1427,1446
958,7,1043,1121
963,11,722,1440
964,0,0,1444
966,1,138,1443
967,1,57,1443
968,1,648,1443
972,1,4,89
973,17,1151,1288
975,4,882,1195
978,1,595,1276
979,0,0,459
983,7,754,1001
986,4,1024,1441
988,0,0,1438
991,3,387,1443
992,1,129,1443
993,2,1125,1442
994,7,344,1427
997,1,209,775
999,1,1131,1442
1000,3,101,1442
1003,1,1093,1442
1004,1,76,160
1005,1,190,1442
1006,8,1299,1442
1011,0,0,1442
1012,0,0,1442
1013,2,398,1107
1017,0,0,1436
1020,0,0,1421
1021,27,570,1409
1022,1,818,827
1023,0,0,1442
1024,4,1368,1442
1025,0,0,1442
1028,0,0,1442
1029,0,0,1442
1032,0,0,1442
1033,0,0,1420
1036,0,0,1442
1039,0,0,1442
1041,0,0,1357
1043,4,1402,1431
1044,0,0,1438
1045,1,652,1441
1046,56,1426,1442
1047,1,710,1442
1048,0,0,633
1054,11,1407,1441
1055,0,0,1441
1056,0,0,445
1059,3,434,1441
1060,0,0,1441
1061,0,0,1441
1063,0,0,1441
1064,2,430,1441
1065,0,0,1441
1066,0,0,1441
1068,20,316,1441
1069,0,0,617
1070,5,1301,1441
1072,0,0,1441
1073,0,0,1441
1075,18,1415,1420
1077,0,0,1441
1078,0,0,1441
1079,1,150,1409
1081,1,26,1440
1082,7,1414,1440
1083,0,0,1440
1084,4,1377,1439
1086,81,1189,1440
1088,0,0,1440
1089,0,0,827
1092,0,0,1440
1093,0,0,1440
1094,2,842,1440
1095,0,0,1440
1096,4,1311,1440
1097,0,0,1439
1098,0,0,1439
1099,0,0,1439
1100,67,481,1439
1101,4,250,282
1104,0,0,1438
1105,0,0,1355
1106,121,1331,1355
1107,0,0,1387
1110,1,760,1438
1111,0,0,568
1112,1,2,1438
1113,1,4,1400
1118,0,0,1403
1119,4,690,1438
1120,0,0,1438
1121,0,0,1377
1122,4,665,1438
1123,1,149,1438
1124,0,0,1438
1127,0,0,1437
1130,0,0,1437
1131,0,0,362
1133,1,13,1437
1139,4,106,1435
1140,3,1290,1436
1141,0,0,1436
1142,18,239,1436
1143,25,1386,1435
1145,31,1144,1435
1147,1,902,1436
1149,0,0,1436
1150,53,979,1436
1151,2,0,1436
1153,0,0,1436
1154,5,938,1436
1156,0,0,1436
1157,0,0,245
1158,7,1389,1435
1159,0,0,1429
1162,1,707,1432
1164,0,0,1435
1167,1,438,1434
1168,0,0,1406
1169,0,0,1434
1172,3,274,1434
1173,0,0,1434
1174,0,0,1399
1175,2,634,1339
1176,0,0,1434
1177,1,160,1434
1178,0,0,1434
1180,0,0,1434
1181,0,0,1434
1182,1,319,1433
1189,2,1252,1432
1190,0,0,1432
1192,2,334,1432
1198,1,893,1432
1199,0,0,1432
1200,0,0,1431
1206,0,0,1165
1207,22,904,1325
1208,1,261,1431
1210,0,0,1430
1217,4,548,1430
1218,17,313,1430
1219,0,0,1430
1220,0,0,1430
1222,2,141,1429
1223,0,0,1429
1228,10,561,1428
1231,0,0,1428
1232,0,0,1428
1233,1,370,1428
1234,0,0,1381
1235,0,0,1426
1236,8,1051,1427
1239,3,984,1427
1241,0,0,1427
1242,1,1,1427
1244,13,950,1427
