"user_id","first_days_since_signup","first_hours_ahead","first_zip","median_income","city_id","session_length","first_MT_quality","credit_amount","gift_amount","prime_session","late_session","couple_session","weekend","num_hvc","status"
837679,8,1,10001,71245,10,60,1.86,25,0,0,1,0,0,11,"C"
1152505,0,5,10001,71245,10,60,3.17,0,0,0,1,0,0,11,"C"
829441,19,1,10002,30844,10,90,3.61,0,0,1,0,0,0,1,"C"
1151201,0,77,10002,30844,10,60,4.34,0,145,1,0,1,0,1,"C"
841849,4,25,10003,89999,10,90,3.69,140,0,1,0,0,0,14,"C"
1151243,3,4,10003,89999,10,90,3.17,0,0,0,1,0,0,14,"C"
207303,498,68,10009,56615,10,60,3.77,30,0,0,1,0,0,3,"C"
1150158,1,1,10009,56615,10,90,3.77,0,0,0,0,0,0,3,"C"
837051,14,1,10010,93702,10,60,3.09,0,0,0,0,0,1,3,"C"
1147815,7,1,10010,93702,10,60,3.05,5,0,0,1,0,1,3,"C"
1150191,0,5,10010,93702,10,90,3.69,0,0,0,0,0,0,3,"C"
1152386,0,2,10010,93702,10,120,3.69,116,0,0,0,0,0,3,"C"
720757,67,24,10011,92359,10,60,3.17,20,0,0,1,0,0,16,"C"
835030,13,4,10011,92359,10,60,2.83,0,0,0,1,0,0,16,"C"
1150571,0,5,10012,81317,10,90,3.75,0,0,0,1,0,0,9,"B"
1151458,1,4,10013,69836,10,60,2.73,0,0,0,1,0,0,8,"C"
31509,860,3,10014,98450,10,60,3.05,0,139,0,1,0,0,15,"C"
832593,13,1,10014,98450,10,60,3.73,0,0,0,0,0,0,15,"C"
1151417,0,2,10014,98450,10,60,4.05,0,0,1,0,1,0,15,"C"
1153130,0,1,10014,98450,10,60,2.54,20,0,0,0,0,0,15,"C"
1153898,0,21,10014,98450,10,60,4.96,0,0,0,1,0,0,15,"C"
68768,719,13,10016,96760,10,90,4.30,0,0,0,0,1,1,14,"C"
1149162,0,28,10016,96760,10,60,3.05,0,0,0,1,0,0,14,"C"
1149328,6,3,10016,96760,10,60,2.41,5,0,1,0,1,1,14,"C"
1150230,0,7,10016,96760,10,90,3.69,0,0,1,0,0,0,14,"C"
710522,80,11,10019,84786,10,120,3.13,0,0,0,0,0,0,15,"C"
1147393,4,1,10019,84786,10,60,3.73,0,0,0,0,0,0,15,"C"
1152700,1,1,10019,84786,10,60,3.65,0,0,0,1,0,0,15,"C"
804949,42,6,10021,113800,10,90,4.94,0,0,1,0,0,0,3,"C"
1147691,0,103,10021,113800,10,60,4.96,0,0,1,0,0,0,3,"C"
265579,433,1,10022,93107,10,60,3.73,0,0,0,0,0,1,14,"C"
838683,12,1,10022,93107,10,60,4.84,0,0,0,0,0,1,14,"C"
804072,47,1,10024,110999,10,60,0.00,0,0,0,0,0,1,4,"C"
825380,15,167,10024,110999,10,90,3.36,0,0,0,0,0,0,4,"C"
828542,0,488,10024,110999,10,60,3.70,0,0,1,0,0,0,4,"C"
1153188,0,79,10024,110999,10,90,4.84,20,0,1,0,0,1,4,"C"
841927,9,7,10025,65001,10,60,3.73,20,0,0,1,0,1,3,"C"
1151400,0,4,10025,65001,10,60,3.17,20,0,1,0,0,0,3,"C"
249105,441,1,10027,38550,10,60,3.13,0,0,1,0,0,0,1,"C"
1150848,0,32,10031,31526,10,90,3.75,0,0,1,0,1,0,1,"C"
1154011,0,1,10031,31526,10,60,3.17,20,0,0,0,0,0,1,"C"
1150458,0,3,10036,62393,10,60,3.05,0,0,1,0,0,0,7,"C"
124792,627,1,10038,55937,10,60,0.00,5,0,0,1,0,0,4,"C"
1152590,3,2,10471,56910,56,90,1.81,0,0,0,1,1,1,1,"C"
825632,21,17,10530,105377,79,90,3.77,0,0,0,0,0,0,1,"C"
397514,317,1,11102,48399,57,60,3.17,0,0,0,0,0,0,1,"C"
151315,593,2,11105,54570,57,60,2.89,0,0,0,1,1,1,2,"C"
1151139,0,109,11207,34729,10,60,3.49,0,0,0,1,0,1,3,"C"
81778,686,1,11211,37632,10,60,3.69,0,0,0,0,0,0,3,"C"
813963,36,3,11211,37632,10,60,3.73,0,0,1,0,0,1,3,"C"
1152778,0,0,11211,37632,10,60,3.65,20,0,0,1,0,0,3,"B"
